No,차량번호,차량모델,차량구분,입구1,입구2,월정요금,이    름,연 락 처,소    속,직    급,시 작 일,종 료 일,등 록 일,수 정 일,결 제 일,세대통보,등록,기타
1,12가1234,렉서스,업무용,Y,Y,0,홍길동,010-1234-1234,경영지원부,팀장,,,,,,,127.0.0.1, 
2,12가1235,렉서스,업무용,Y,Y,0,임형수,010-1234-1235,마케팅1부,팀장,,,,,,,127.0.0.1,
3,12가1236,렉서스,업무용,Y,Y,0,강혜리,010-1234-1236,개발1팀,팀장,,,,,,,127.0.0.1,
4,12가1237,렉서스,업무용,Y,Y,0,김병세,010-1234-1237,개발2팀,팀장,,,,,,,127.0.0.1,
5,12가1238,렉서스,업무용,Y,Y,0,한동준,010-1234-1238,개발3팀,팀장,,,,,,,127.0.0.1,
6,12가1239,렉서스,업무용,Y,Y,0,이등록,010-1234-1239,마케팅2부,팀장,,,,,,적용,127.0.0.1,
7,12가1240,소나타,업무용,Y,Y,0,박세은,010-1234-1240,마케팅3부,팀장,,,,,,적용,127.0.0.1,
8,12가1241,소나타,업무용,Y,Y,0,김을려,010-1234-1241,마케팅4부,팀장,,,,,,적용,127.0.0.1,
9,12가1242,소나타,업무용,Y,Y,0,배운형,010-1234-1242,마케팅5부,팀장,,,,,,적용,127.0.0.1,
10,12가1243,소나타,업무용,Y,Y,0,차준필,010-1234-1243,해외영업1부,팀장,,,,,,적용,127.0.0.1,
11,12가1244,소나타,업무용,Y,Y,0,형상욱,010-1234-1244,해외영업2부,팀장,,,,,,적용,127.0.0.1,
12,12가1245,소나타,업무용,Y,Y,0,최경환,010-1234-1245,자원개발1부,팀장,,,,,,적용,127.0.0.1,
13,12가1246,소나타,업무용,Y,Y,0,박미령,010-1234-1246,자원개발2부,팀장,,,,,,적용,127.0.0.1,
14,12가1247,소나타,업무용,Y,Y,0,홍차운,010-1234-1247,자원개발3부,팀장,,,,,,적용,127.0.0.1,
